Pseudo-terminal will not be allocated because stdin is not a terminal.

============== Configuration values: ==============
===================================================
Writing results to stdout
[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 10%,  35 secs]  8 threads:     5206828 ops,  155238 (avg:  148730) ops/sec, 15.70MB/sec (avg: 15.04MB/sec),  2.56 (avg:  2.68) msec latency
[RUN #1 11%,  36 secs]  8 threads:     5364388 ops,  157524 (avg:  148974) ops/sec, 15.93MB/sec (avg: 15.06MB/sec),  2.53 (avg:  2.68) msec latency
[RUN #1 11%,  37 secs]  8 threads:     5517661 ops,  153235 (avg:  149089) ops/sec, 15.50MB/sec (avg: 15.08MB/sec),  2.61 (avg:  2.68) msec latency
[RUN #1 11%,  38 secs]  8 threads:     5660278 ops,  142583 (avg:  148918) ops/sec, 14.42MB/sec (avg: 15.06MB/sec),  2.80 (avg:  2.68) msec latency
[RUN #1 12%,  39 secs]  8 threads:     5803001 ops,  142693 (avg:  148759) ops/sec, 14.43MB/sec (avg: 15.04MB/sec),  2.80 (avg:  2.68) msec latency
[RUN #1 12%,  40 secs]  8 threads:     5960394 ops,  157357 (avg:  148974) ops/sec, 15.91MB/sec (avg: 15.06MB/sec),  2.53 (avg:  2.68) msec latency
[RUN #1 12%,  41 secs]  8 threads:     6106925 ops,  146494 (avg:  148913) ops/sec, 14.81MB/sec (avg: 15.06MB/sec),  2.73 (avg:  2.68) msec latency
[RUN #1 13%,  42 secs]  8 threads:     6253404 ops,  146446 (avg:  148854) ops/sec, 14.81MB/sec (avg: 15.05MB/sec),  2.72 (avg:  2.68) msec latency
[RUN #1 13%,  43 secs]  8 threads:     6399989 ops,  146553 (avg:  148801) ops/sec, 14.82MB/sec (avg: 15.05MB/sec),  2.73 (avg:  2.68) msec latency
[RUN #1 13%,  44 secs]  8 threads:     6540219 ops,  140199 (avg:  148605) ops/sec, 14.18MB/sec (avg: 15.03MB/sec),  2.84 (avg:  2.69) msec latency
[RUN #1 13%,  45 secs]  8 threads:     6685151 ops,  144903 (avg:  148523) ops/sec, 14.65MB/sec (avg: 15.02MB/sec),  2.76 (avg:  2.69) msec latency
[RUN #1 14%,  46 secs]  8 threads:     6834264 ops,  149080 (avg:  148535) ops/sec, 15.08MB/sec (avg: 15.02MB/sec),  2.68 (avg:  2.69) msec latency
[RUN #1 14%,  47 secs]  8 threads:     6999444 ops,  165140 (avg:  148889) ops/sec, 16.70MB/sec (avg: 15.06MB/sec),  2.42 (avg:  2.68) msec latency
[RUN #1 14%,  48 secs]  8 threads:     7149510 ops,  150032 (avg:  148912) ops/sec, 15.17MB/sec (avg: 15.06MB/sec),  2.66 (avg:  2.68) msec latency
[RUN #1 15%,  49 secs]  8 threads:     7299239 ops,  149697 (avg:  148928) ops/sec, 15.14MB/sec (avg: 15.06MB/sec),  2.67 (avg:  2.68) msec latency
[RUN #1 15%,  50 secs]  8 threads:     7461248 ops,  161973 (avg:  149189) ops/sec, 16.38MB/sec (avg: 15.09MB/sec),  2.47 (avg:  2.67) msec latency
[RUN #1 15%,  51 secs]  8 threads:     7617234 ops,  155944 (avg:  149322) ops/sec, 15.77MB/sec (avg: 15.10MB/sec),  2.56 (avg:  2.67) msec latency
[RUN #1 16%,  52 secs]  8 threads:     7780279 ops,  163011 (avg:  149585) ops/sec, 16.48MB/sec (avg: 15.13MB/sec),  2.44 (avg:  2.67) msec latency
[RUN #1 16%,  53 secs]  8 threads:     7944781 ops,  164465 (avg:  149866) ops/sec, 16.63MB/sec (avg: 15.15MB/sec),  2.43 (avg:  2.66) msec latency
[RUN #1 16%,  54 secs]  8 threads:     8106271 ops,  161455 (avg:  150080) ops/sec, 16.33MB/sec (avg: 15.18MB/sec),  2.48 (avg:  2.66) msec latency
[RUN #1 17%,  55 secs]  8 threads:     8276639 ops,  170327 (avg:  150448) ops/sec, 17.22MB/sec (avg: 15.21MB/sec),  2.34 (avg:  2.65) msec latency
[RUN #1 17%,  56 secs]  8 threads:     8427582 ops,  150905 (avg:  150457) ops/sec, 15.26MB/sec (avg: 15.21MB/sec),  2.64 (avg:  2.65) msec latency
[RUN #1 17%,  57 secs]  8 threads:     8579101 ops,  151485 (avg:  150475) ops/sec, 15.32MB/sec (avg: 15.22MB/sec),  2.64 (avg:  2.65) msec latency
[RUN #1 17%,  58 secs]  8 threads:     8738425 ops,  159288 (avg:  150627) ops/sec, 16.11MB/sec (avg: 15.23MB/sec),  2.51 (avg:  2.65) msec latency
[RUN #1 18%,  59 secs]  8 threads:     8893174 ops,  154710 (avg:  150696) ops/sec, 15.64MB/sec (avg: 15.24MB/sec),  2.58 (avg:  2.65) msec latency
[RUN #1 18%,  60 secs]  8 threads:     9043220 ops,  150005 (avg:  150684) ops/sec, 15.17MB/sec (avg: 15.24MB/sec),  2.66 (avg:  2.65) msec latency
[RUN #1 18%,  61 secs]  8 threads:     9201297 ops,  158037 (avg:  150805) ops/sec, 15.98MB/sec (avg: 15.25MB/sec),  2.53 (avg:  2.65) msec latency
[RUN #1 19%,  62 secs]  8 threads:     9353855 ops,  152524 (avg:  150833) ops/sec, 15.42MB/sec (avg: 15.25MB/sec),  2.62 (avg:  2.65) msec latency
[RUN #1 19%,  63 secs]  8 threads:     9503782 ops,  149892 (avg:  150818) ops/sec, 15.16MB/sec (avg: 15.25MB/sec),  2.67 (avg:  2.65) msec latency
[RUN #1 19%,  64 secs]  8 threads:     9655069 ops,  151251 (avg:  150824) ops/sec, 15.30MB/sec (avg: 15.25MB/sec),  2.64 (avg:  2.65) msec latency
[RUN #1 20%,  65 secs]  8 threads:     9805495 ops,  150389 (avg:  150818) ops/sec, 15.21MB/sec (avg: 15.25MB/sec),  2.64 (avg:  2.65) msec latency
[RUN #1 20%,  66 secs]  8 threads:     9919960 ops,  114438 (avg:  150266) ops/sec, 11.57MB/sec (avg: 15.20MB/sec),  3.53 (avg:  2.66) msec latency
[RUN #1 20%,  67 secs]  8 threads:    10085092 ops,  164402 (avg:  150478) ops/sec, 16.62MB/sec (avg: 15.22MB/sec),  2.40 (avg:  2.65) msec latency
[RUN #1 20%,  68 secs]  8 threads:    10245727 ops,  160597 (avg:  150627) ops/sec, 16.24MB/sec (avg: 15.23MB/sec),  2.48 (avg:  2.65) msec latency
[RUN #1 21%,  69 secs]  8 threads:    10412337 ops,  166571 (avg:  150858) ops/sec, 16.84MB/sec (avg: 15.25MB/sec),  2.38 (avg:  2.65) msec latency
[RUN #1 21%,  70 secs]  8 threads:    10557791 ops,  145378 (avg:  150780) ops/sec, 14.70MB/sec (avg: 15.25MB/sec),  2.76 (avg:  2.65) msec latency
[RUN #1 21%,  71 secs]  8 threads:    10707205 ops,  149382 (avg:  150760) ops/sec, 15.11MB/sec (avg: 15.25MB/sec),  2.66 (avg:  2.65) msec latency
[RUN #1 22%,  72 secs]  8 threads:    10853783 ops,  146542 (avg:  150702) ops/sec, 14.82MB/sec (avg: 15.24MB/sec),  2.73 (avg:  2.65) msec latency
[RUN #1 22%,  73 secs]  8 threads:    10996022 ops,  142208 (avg:  150585) ops/sec, 14.38MB/sec (avg: 15.23MB/sec),  2.81 (avg:  2.65) msec latency
[RUN #1 22%,  74 secs]  8 threads:    11153922 ops,  157863 (avg:  150684) ops/sec, 15.96MB/sec (avg: 15.24MB/sec),  2.53 (avg:  2.65) msec latency
[RUN #1 23%,  75 secs]  8 threads:    11310464 ops,  156505 (avg:  150761) ops/sec, 15.83MB/sec (avg: 15.25MB/sec),  2.54 (avg:  2.65) msec latency
[RUN #1 23%,  76 secs]  8 threads:    11451719 ops,  141222 (avg:  150636) ops/sec, 14.28MB/sec (avg: 15.23MB/sec),  2.83 (avg:  2.65) msec latency
[RUN #1 23%,  77 secs]  8 threads:    11618343 ops,  166589 (avg:  150843) ops/sec, 16.85MB/sec (avg: 15.25MB/sec),  2.40 (avg:  2.65) msec latency
[RUN #1 24%,  78 secs]  8 threads:    11769482 ops,  151105 (avg:  150846) ops/sec, 15.28MB/sec (avg: 15.25MB/sec),  2.64 (avg:  2.65) msec latency
[RUN #1 24%,  79 secs]  8 threads:    11920222 ops,  150703 (avg:  150844) ops/sec, 15.24MB/sec (avg: 15.25MB/sec),  2.65 (avg:  2.65) msec latency
[RUN #1 24%,  80 secs]  8 threads:    12070293 ops,  150037 (avg:  150834) ops/sec, 15.17MB/sec (avg: 15.25MB/sec),  2.66 (avg:  2.65) msec latency
[RUN #1 24%,  81 secs]  8 threads:    12230243 ops,  159912 (avg:  150946) ops/sec, 16.17MB/sec (avg: 15.26MB/sec),  2.49 (avg:  2.64) msec latency
[RUN #1 25%,  82 secs]  8 threads:    12379840 ops,  149564 (avg:  150930) ops/sec, 15.12MB/sec (avg: 15.26MB/sec),  2.67 (avg:  2.64) msec latency
[RUN #1 25%,  83 secs]  8 threads:    12524477 ops,  144603 (avg:  150853) ops/sec, 14.62MB/sec (avg: 15.25MB/sec),  2.77 (avg:  2.65) msec latency
[RUN #1 25%,  84 secs]  8 threads:    12664168 ops,  139661 (avg:  150720) ops/sec, 14.12MB/sec (avg: 15.24MB/sec),  2.86 (avg:  2.65) msec latency
[RUN #1 26%,  85 secs]  8 threads:    12827884 ops,  163683 (avg:  150873) ops/sec, 16.55MB/sec (avg: 15.26MB/sec),  2.43 (avg:  2.65) msec latency
[RUN #1 26%,  86 secs]  8 threads:    12964179 ops,  136265 (avg:  150703) ops/sec, 13.78MB/sec (avg: 15.24MB/sec),  2.94 (avg:  2.65) msec latency
[RUN #1 26%,  87 secs]  8 threads:    13107174 ops,  142962 (avg:  150614) ops/sec, 14.46MB/sec (avg: 15.23MB/sec),  2.78 (avg:  2.65) msec latency
[RUN #1 26%,  88 secs]  8 threads:    13244426 ops,  137221 (avg:  150462) ops/sec, 13.88MB/sec (avg: 15.21MB/sec),  2.91 (avg:  2.65) msec latency
[RUN #1 27%,  89 secs]  8 threads:    13399810 ops,  155349 (avg:  150517) ops/sec, 15.71MB/sec (avg: 15.22MB/sec),  2.57 (avg:  2.65) msec latency
[RUN #1 27%,  90 secs]  8 threads:    13554187 ops,  154347 (avg:  150559) ops/sec, 15.61MB/sec (avg: 15.22MB/sec),  2.59 (avg:  2.65) msec latency
[RUN #1 27%,  91 secs]  8 threads:    13698268 ops,  144040 (avg:  150487) ops/sec, 14.57MB/sec (avg: 15.22MB/sec),  2.77 (avg:  2.65) msec latency
[RUN #1 28%,  92 secs]  8 threads:    13845803 ops,  147504 (avg:  150455) ops/sec, 14.92MB/sec (avg: 15.21MB/sec),  2.70 (avg:  2.65) msec latency
[RUN #1 28%,  93 secs]  8 threads:    13994337 ops,  148498 (avg:  150434) ops/sec, 15.02MB/sec (avg: 15.21MB/sec),  2.69 (avg:  2.65) msec latency
[RUN #1 28%,  94 secs]  8 threads:    14138880 ops,  144508 (avg:  150371) ops/sec, 14.61MB/sec (avg: 15.21MB/sec),  2.75 (avg:  2.65) msec latency
[RUN #1 29%,  95 secs]  8 threads:    14290922 ops,  152015 (avg:  150388) ops/sec, 15.37MB/sec (avg: 15.21MB/sec),  2.63 (avg:  2.65) msec latency
[RUN #1 29%,  96 secs]  8 threads:    14430777 ops,  139825 (avg:  150278) ops/sec, 14.14MB/sec (avg: 15.20MB/sec),  2.86 (avg:  2.66) msec latency
[RUN #1 29%,  97 secs]  8 threads:    14570995 ops,  140186 (avg:  150174) ops/sec, 14.18MB/sec (avg: 15.19MB/sec),  2.85 (avg:  2.66) msec latency
[RUN #1 29%,  98 secs]  8 threads:    14734184 ops,  163153 (avg:  150307) ops/sec, 16.50MB/sec (avg: 15.20MB/sec),  2.45 (avg:  2.66) msec latency
[RUN #1 30%,  99 secs]  8 threads:    14897113 ops,  162893 (avg:  150434) ops/sec, 16.47MB/sec (avg: 15.21MB/sec),  2.44 (avg:  2.65) msec latency
[RUN #1 30%, 100 secs]  8 threads:    15051698 ops,  154550 (avg:  150475) ops/sec, 15.63MB/sec (avg: 15.22MB/sec),  2.59 (avg:  2.65) msec latency
[RUN #1 30%, 101 secs]  8 threads:    15190011 ops,  138278 (avg:  150354) ops/sec, 13.98MB/sec (avg: 15.20MB/sec),  2.89 (avg:  2.65) msec latency
[RUN #1 31%, 102 secs]  8 threads:    15348239 ops,  158195 (avg:  150431) ops/sec, 16.00MB/sec (avg: 15.21MB/sec),  2.52 (avg:  2.65) msec latency
[RUN #1 31%, 103 secs]  8 threads:    15498474 ops,  150202 (avg:  150429) ops/sec, 15.19MB/sec (avg: 15.21MB/sec),  2.66 (avg:  2.65) msec latency
[RUN #1 31%, 104 secs]  8 threads:    15637426 ops,  138921 (avg:  150318) ops/sec, 14.05MB/sec (avg: 15.20MB/sec),  2.87 (avg:  2.66) msec latency
[RUN #1 32%, 105 secs]  8 threads:    15785867 ops,  148411 (avg:  150300) ops/sec, 15.01MB/sec (avg: 15.20MB/sec),  2.69 (avg:  2.66) msec latency
[RUN #1 32%, 106 secs]  8 threads:    15927009 ops,  141110 (avg:  150213) ops/sec, 14.27MB/sec (avg: 15.19MB/sec),  2.84 (avg:  2.66) msec latency
[RUN #1 32%, 107 secs]  8 threads:    16075856 ops,  148811 (avg:  150200) ops/sec, 15.05MB/sec (avg: 15.19MB/sec),  2.69 (avg:  2.66) msec latency
[RUN #1 32%, 108 secs]  8 threads:    16242172 ops,  166282 (avg:  150349) ops/sec, 16.81MB/sec (avg: 15.20MB/sec),  2.39 (avg:  2.65) msec latency
[RUN #1 33%, 109 secs]  8 threads:    16385603 ops,  143398 (avg:  150285) ops/sec, 14.50MB/sec (avg: 15.20MB/sec),  2.79 (avg:  2.66) msec latency
[RUN #1 33%, 110 secs]  8 threads:    16551462 ops,  165823 (avg:  150427) ops/sec, 16.77MB/sec (avg: 15.21MB/sec),  2.42 (avg:  2.65) msec latency
[RUN #1 33%, 111 secs]  8 threads:    16706752 ops,  155256 (avg:  150470) ops/sec, 15.70MB/sec (avg: 15.22MB/sec),  2.57 (avg:  2.65) msec latency
[RUN #1 34%, 112 secs]  8 threads:    16851752 ops,  144968 (avg:  150421) ops/sec, 14.66MB/sec (avg: 15.21MB/sec),  2.75 (avg:  2.65) msec latency
[RUN #1 34%, 113 secs]  8 threads:    16998790 ops,  147006 (avg:  150391) ops/sec, 14.87MB/sec (avg: 15.21MB/sec),  2.71 (avg:  2.65) msec latency
[RUN #1 34%, 114 secs]  8 threads:    17151512 ops,  152692 (avg:  150411) ops/sec, 15.44MB/sec (avg: 15.21MB/sec),  2.62 (avg:  2.65) msec latency
[RUN #1 35%, 115 secs]  8 threads:    17301476 ops,  149929 (avg:  150407) ops/sec, 15.16MB/sec (avg: 15.21MB/sec),  2.67 (avg:  2.65) msec latency
[RUN #1 35%, 116 secs]  8 threads:    17450201 ops,  148563 (avg:  150391) ops/sec, 15.02MB/sec (avg: 15.21MB/sec),  2.68 (avg:  2.65) msec latency
[RUN #1 35%, 117 secs]  8 threads:    17604325 ops,  154093 (avg:  150422) ops/sec, 15.58MB/sec (avg: 15.21MB/sec),  2.59 (avg:  2.65) msec latency
[RUN #1 36%, 118 secs]  8 threads:    17750052 ops,  145693 (avg:  150382) ops/sec, 14.73MB/sec (avg: 15.21MB/sec),  2.74 (avg:  2.65) msec latency
[RUN #1 36%, 119 secs]  8 threads:    17895781 ops,  145695 (avg:  150343) ops/sec, 14.73MB/sec (avg: 15.20MB/sec),  2.74 (avg:  2.65) msec latency
[RUN #1 36%, 120 secs]  8 threads:    18045173 ops,  149362 (avg:  150335) ops/sec, 15.10MB/sec (avg: 15.20MB/sec),  2.67 (avg:  2.65) msec latency
[RUN #1 36%, 121 secs]  8 threads:    18186095 ops,  140889 (avg:  150257) ops/sec, 14.25MB/sec (avg: 15.19MB/sec),  2.84 (avg:  2.66) msec latency
[RUN #1 37%, 122 secs]  8 threads:    18335238 ops,  149108 (avg:  150247) ops/sec, 15.08MB/sec (avg: 15.19MB/sec),  2.67 (avg:  2.66) msec latency
[RUN #1 37%, 123 secs]  8 threads:    18486952 ops,  151680 (avg:  150259) ops/sec, 15.34MB/sec (avg: 15.19MB/sec),  2.63 (avg:  2.66) msec latency
[RUN #1 37%, 124 secs]  8 threads:    18639342 ops,  152357 (avg:  150276) ops/sec, 15.41MB/sec (avg: 15.20MB/sec),  2.63 (avg:  2.66) msec latency
[RUN #1 38%, 125 secs]  8 threads:    18782559 ops,  143183 (avg:  150219) ops/sec, 14.48MB/sec (avg: 15.19MB/sec),  2.78 (avg:  2.66) msec latency
[RUN #1 38%, 126 secs]  8 threads:    18922208 ops,  139615 (avg:  150135) ops/sec, 14.12MB/sec (avg: 15.18MB/sec),  2.86 (avg:  2.66) msec latency
[RUN #1 38%, 127 secs]  8 threads:    19065081 ops,  142839 (avg:  150078) ops/sec, 14.44MB/sec (avg: 15.18MB/sec),  2.80 (avg:  2.66) msec latency
[RUN #1 38%, 128 secs]  8 threads:    19217217 ops,  151598 (avg:  150089) ops/sec, 15.33MB/sec (avg: 15.18MB/sec),  2.62 (avg:  2.66) msec latency
